id,matchResult,map,teamA,teamAScore,teamB,teamBScore
314622,2:1,Icebox,Cloud9,7,Leviatán,13
314622,2:1,Sunset,Cloud9,13,Leviatán,7
314622,2:1,Ascent,Cloud9,18,Leviatán,16
314623,2:0,Breeze,NRG Esports,13,LOUD,10
314623,2:0,Sunset,NRG Esports,13,LOUD,2
314624,2:0,Lotus,G2 Esports,13,Evil Geniuses,8
314624,2:0,Icebox,G2 Esports,13,Evil Geniuses,3
314625,2:0,Icebox,Sentinels,13,100 Thieves,10
314625,2:0,Split,Sentinels,13,100 Thieves,6
314626,2:1,Lotus,KRÜ Esports,13,FURIA,7
314626,2:1,Icebox,KRÜ Esports,11,FURIA,13
314626,2:1,Breeze,KRÜ Esports,13,FURIA,7
314628,0:2,Bind,G2 Esports,9,100 Thieves,13
314628,0:2,Split,G2 Esports,8,100 Thieves,13
314629,0:2,Lotus,Sentinels,17,Leviatán,19
314629,0:2,Icebox,Sentinels,11,Leviatán,13
314630,2:0,Icebox,KRÜ Esports,13,MIBR,6
314630,2:0,Sunset,KRÜ Esports,13,MIBR,8
314631,2:0,Split,NRG Esports,13,FURIA,2
314631,2:0,Breeze,NRG Esports,13,FURIA,8
314632,2:1,Lotus,Cloud9,9,Evil Geniuses,13
314632,2:1,Sunset,Cloud9,13,Evil Geniuses,8
314632,2:1,Split,Cloud9,13,Evil Geniuses,4
314634,2:0,Lotus,Sentinels,13,MIBR,3
314634,2:0,Bind,Sentinels,13,MIBR,7
314635,2:1,Bind,Cloud9,11,LOUD,13
314635,2:1,Icebox,Cloud9,13,LOUD,4
314635,2:1,Lotus,Cloud9,13,LOUD,9
314636,2:0,Lotus,KRÜ Esports,13,Evil Geniuses,5
314636,2:0,Breeze,KRÜ Esports,13,Evil Geniuses,9
314637,0:2,Sunset,NRG Esports,4,Leviatán,13
314637,0:2,Bind,NRG Esports,4,Leviatán,13
314638,2:0,Lotus,G2 Esports,13,FURIA,3
314638,2:0,Icebox,G2 Esports,13,FURIA,3
314639,0:2,Bind,Cloud9,7,100 Thieves,13
314639,0:2,Ascent,Cloud9,6,100 Thieves,13
314640,1:2,Lotus,Sentinels,13,Evil Geniuses,10
314640,1:2,Bind,Sentinels,11,Evil Geniuses,13
314640,1:2,Sunset,Sentinels,10,Evil Geniuses,13
314641,2:0,Split,NRG Esports,13,MIBR,9
314641,2:0,Breeze,NRG Esports,13,MIBR,3
314642,1:2,Breeze,G2 Esports,6,Leviatán,13
314642,1:2,Icebox,G2 Esports,13,Leviatán,8
314642,1:2,Lotus,G2 Esports,9,Leviatán,13
314643,2:0,Split,KRÜ Esports,13,LOUD,8
314643,2:0,Ascent,KRÜ Esports,13,LOUD,8
314644,2:0,Icebox,G2 Esports,13,MIBR,9
314644,2:0,Bind,G2 Esports,13,MIBR,3
314645,0:2,Lotus,Sentinels,7,LOUD,13
314645,0:2,Icebox,Sentinels,8,LOUD,13
314646,2:1,Ascent,Cloud9,2,FURIA,13
314646,2:1,Lotus,Cloud9,13,FURIA,3
314646,2:1,Bind,Cloud9,13,FURIA,8
314647,1:2,Ascent,NRG Esports,6,Evil Geniuses,13
314647,1:2,Lotus,NRG Esports,16,Evil Geniuses,14
314647,1:2,Sunset,NRG Esports,11,Evil Geniuses,13
314648,2:1,Sunset,KRÜ Esports,13,100 Thieves,7
314648,2:1,Breeze,KRÜ Esports,11,100 Thieves,13
314648,2:1,Split,KRÜ Esports,13,100 Thieves,8
