,team,Group,Wins,Losses,Map Wins,Map Losses,Map Delta,Round Wins,Round Losses,Round Delta
0,100 Thieves,omega,2,2,5,4,1,96,93,3
1,Cloud9,alpha,4,1,8,6,2,151,137,14
2,Evil Geniuses,omega,2,3,5,8,-3,126,154,-28
3,FURIA,omega,0,4,2,8,-6,67,117,-50
4,G2 Esports,alpha,3,2,7,4,3,123,89,34
5,KRÜ Esports,alpha,5,0,10,2,8,152,99,53
6,LOUD,omega,1,3,3,6,-3,80,104,-24
7,Leviatán,omega,3,1,7,3,4,128,102,26
8,MIBR,omega,0,4,0,8,-8,48,104,-56
9,NRG Esports,alpha,3,2,7,4,3,119,100,19
10,Sentinels,alpha,2,3,5,6,-1,129,120,9
