id,matchResult,map,teamA,teamAScore,teamB,teamBScore
319765,2:1,Bind,Bilibili Gaming,3,TYLOO,13
319765,2:1,Icebox,Bilibili Gaming,13,TYLOO,6
319765,2:1,Lotus,Bilibili Gaming,13,TYLOO,6
319766,1:2,Split,Wolves Esports,13,Titan Esports Club,5
319766,1:2,Bind,Wolves Esports,12,Titan Esports Club,14
319766,1:2,Lotus,Wolves Esports,10,Titan Esports Club,13
319767,1:2,Icebox,Dragon Ranger Gaming,13,All Gamers,11
319767,1:2,Sunset,Dragon Ranger Gaming,11,All Gamers,13
319767,1:2,Breeze,Dragon Ranger Gaming,8,All Gamers,13
319768,2:1,Ascent,EDward Gaming,13,JD Gaming,5
319768,2:1,Bind,EDward Gaming,9,JD Gaming,13
319768,2:1,Split,EDward Gaming,13,JD Gaming,11
319769,0:2,Lotus,Nova Esports,5,Trace Esports,13
319769,0:2,Ascent,Nova Esports,9,Trace Esports,13
319770,2:0,Ascent,FunPlus Phoenix,13,Wolves Esports,8
319770,2:0,Lotus,FunPlus Phoenix,13,Wolves Esports,7
319771,1:2,Sunset,JD Gaming,13,Nova Esports,8
319771,1:2,Bind,JD Gaming,9,Nova Esports,13
319771,1:2,Ascent,JD Gaming,4,Nova Esports,13
319772,2:1,Breeze,FunPlus Phoenix,13,Dragon Ranger Gaming,11
319772,2:1,Icebox,FunPlus Phoenix,9,Dragon Ranger Gaming,13
319772,2:1,Sunset,FunPlus Phoenix,13,Dragon Ranger Gaming,3
319773,0:2,Breeze,All Gamers,9,Wolves Esports,13
319773,0:2,Icebox,All Gamers,12,Wolves Esports,14
319774,2:1,Split,Trace Esports,11,Bilibili Gaming,13
319774,2:1,Breeze,Trace Esports,13,Bilibili Gaming,7
319774,2:1,Bind,Trace Esports,13,Bilibili Gaming,7
319775,2:1,Breeze,Dragon Ranger Gaming,4,Titan Esports Club,13
319775,2:1,Split,Dragon Ranger Gaming,13,Titan Esports Club,7
319775,2:1,Icebox,Dragon Ranger Gaming,13,Titan Esports Club,5
319776,0:2,Sunset,TYLOO,5,EDward Gaming,13
319776,0:2,Bind,TYLOO,10,EDward Gaming,13
319777,0:2,Ascent,Wolves Esports,9,Trace Esports,13
319777,0:2,Lotus,Wolves Esports,9,Trace Esports,13
319778,0:2,Ascent,Nova Esports,6,FunPlus Phoenix,13
319778,0:2,Lotus,Nova Esports,4,FunPlus Phoenix,13
319779,0:2,Lotus,Bilibili Gaming,11,All Gamers,13
319779,0:2,Bind,Bilibili Gaming,7,All Gamers,13
319780,2:1,Breeze,Dragon Ranger Gaming,13,JD Gaming,7
319780,2:1,Icebox,Dragon Ranger Gaming,5,JD Gaming,13
319780,2:1,Bind,Dragon Ranger Gaming,14,JD Gaming,12
319781,2:1,Icebox,TYLOO,10,Nova Esports,13
319781,2:1,Ascent,TYLOO,14,Nova Esports,12
319781,2:1,Split,TYLOO,13,Nova Esports,9
319782,2:0,Ascent,EDward Gaming,13,Titan Esports Club,5
319782,2:0,Sunset,EDward Gaming,13,Titan Esports Club,5
319783,2:1,Sunset,Titan Esports Club,13,Bilibili Gaming,11
319783,2:1,Bind,Titan Esports Club,8,Bilibili Gaming,13
319783,2:1,Icebox,Titan Esports Club,13,Bilibili Gaming,6
319784,0:2,Breeze,Trace Esports,7,Dragon Ranger Gaming,13
319784,0:2,Sunset,Trace Esports,10,Dragon Ranger Gaming,13
319785,1:2,Sunset,TYLOO,11,Wolves Esports,13
319785,1:2,Split,TYLOO,13,Wolves Esports,7
319785,1:2,Ascent,TYLOO,10,Wolves Esports,13
319786,2:1,Breeze,FunPlus Phoenix,4,EDward Gaming,13
319786,2:1,Bind,FunPlus Phoenix,13,EDward Gaming,11
319786,2:1,Ascent,FunPlus Phoenix,13,EDward Gaming,4
319787,2:1,Lotus,All Gamers,16,Nova Esports,14
319787,2:1,Bind,All Gamers,10,Nova Esports,13
319787,2:1,Split,All Gamers,13,Nova Esports,7
319788,2:0,Icebox,Bilibili Gaming,13,JD Gaming,8
319788,2:0,Lotus,Bilibili Gaming,13,JD Gaming,10
