id,matchResult,map,teamA,teamAScore,teamB,teamBScore,teamAResult,teamBResult,matchWinner,matchLoser
319765,2:1,Bind,Bilibili Gaming,3,TYLOO,13,W,L,Bilibili Gaming,TYLOO
319765,2:1,Icebox,Bilibili Gaming,13,TYLOO,6,L,W,Bilibili Gaming,TYLOO
319765,2:1,Lotus,Bilibili Gaming,13,TYLOO,6,L,W,Bilibili Gaming,TYLOO
319766,1:2,Split,Wolves Esports,13,Titan Esports Club,5,L,W,Titan Esports Club,Wolves Esports
319766,1:2,Bind,Wolves Esports,12,Titan Esports Club,14,L,W,Titan Esports Club,Wolves Esports
319766,1:2,Lotus,Wolves Esports,10,Titan Esports Club,13,L,W,Titan Esports Club,Wolves Esports
319767,1:2,Icebox,Dragon Ranger Gaming,13,All Gamers,11,W,L,All Gamers,Dragon Ranger Gaming
319767,1:2,Sunset,Dragon Ranger Gaming,11,All Gamers,13,L,W,All Gamers,Dragon Ranger Gaming
319767,1:2,Breeze,Dragon Ranger Gaming,8,All Gamers,13,W,L,All Gamers,Dragon Ranger Gaming
319768,2:1,Ascent,EDward Gaming,13,JD Gaming,5,L,W,EDward Gaming,JD Gaming
319768,2:1,Bind,EDward Gaming,9,JD Gaming,13,W,L,EDward Gaming,JD Gaming
319768,2:1,Split,EDward Gaming,13,JD Gaming,11,W,L,EDward Gaming,JD Gaming
319769,0:2,Lotus,Nova Esports,5,Trace Esports,13,W,L,Trace Esports,Nova Esports
319769,0:2,Ascent,Nova Esports,9,Trace Esports,13,W,L,Trace Esports,Nova Esports
319770,2:0,Ascent,FunPlus Phoenix,13,Wolves Esports,8,L,W,FunPlus Phoenix,Wolves Esports
319770,2:0,Lotus,FunPlus Phoenix,13,Wolves Esports,7,L,W,FunPlus Phoenix,Wolves Esports
319771,1:2,Sunset,JD Gaming,13,Nova Esports,8,L,W,Nova Esports,JD Gaming
319771,1:2,Bind,JD Gaming,9,Nova Esports,13,W,L,Nova Esports,JD Gaming
319771,1:2,Ascent,JD Gaming,4,Nova Esports,13,W,L,Nova Esports,JD Gaming
