id,matchResult,map,teamA,teamAScore,teamB,teamBScore
318911,2:0,Breeze,Karmine Corp,13,GIANTX,4
318911,2:0,Sunset,Karmine Corp,13,GIANTX,9
318913,0:2,Split,KOI,9,Team Liquid,13
318913,0:2,Ascent,KOI,7,Team Liquid,13
318914,0:2,Bind,Team Vitality,9,Natus Vincere,13
318914,0:2,Lotus,Team Vitality,4,Natus Vincere,13
318915,0:2,Icebox,FNATIC,4,Team Heretics,13
318915,0:2,Lotus,FNATIC,15,Team Heretics,17
318916,0:2,Split,Team Liquid,5,FUT Esports,13
318916,0:2,Icebox,Team Liquid,8,FUT Esports,13
318917,0:2,Ascent,BBL Esports,7,Gentle Mates,13
318917,0:2,Sunset,BBL Esports,11,Gentle Mates,13
318918,1:2,Bind,Karmine Corp,13,FUT Esports,11
318918,1:2,Lotus,Karmine Corp,8,FUT Esports,13
318918,1:2,Breeze,Karmine Corp,7,FUT Esports,13
318919,2:1,Breeze,Team Vitality,13,Team Heretics,9
318919,2:1,Sunset,Team Vitality,11,Team Heretics,13
318919,2:1,Icebox,Team Vitality,13,Team Heretics,9
318920,1:2,Lotus,Team Liquid,13,Natus Vincere,10
318920,1:2,Split,Team Liquid,11,Natus Vincere,13
318920,1:2,Ascent,Team Liquid,5,Natus Vincere,13
318921,2:0,Breeze,BBL Esports,13,KOI,4
318921,2:0,Icebox,BBL Esports,13,KOI,3
318922,2:1,Bind,FNATIC,13,GIANTX,5
318922,2:1,Breeze,FNATIC,5,GIANTX,13
318922,2:1,Split,FNATIC,13,GIANTX,7
318923,2:0,Split,Karmine Corp,13,Gentle Mates,6
318923,2:0,Icebox,Karmine Corp,13,Gentle Mates,6
318924,0:2,Breeze,Gentle Mates,6,FNATIC,13
318924,0:2,Lotus,Gentle Mates,4,FNATIC,13
318925,1:2,Bind,Karmine Corp,13,Natus Vincere,7
318925,1:2,Sunset,Karmine Corp,7,Natus Vincere,13
318925,1:2,Split,Karmine Corp,6,Natus Vincere,13
318926,2:0,Split,BBL Esports,13,Team Heretics,7
318926,2:0,Sunset,BBL Esports,13,Team Heretics,10
318927,2:1,Ascent,Team Vitality,7,FUT Esports,13
318927,2:1,Icebox,Team Vitality,13,FUT Esports,9
318927,2:1,Sunset,Team Vitality,13,FUT Esports,9
318928,2:1,Lotus,Team Liquid,14,GIANTX,16
318928,2:1,Icebox,Team Liquid,13,GIANTX,7
318928,2:1,Ascent,Team Liquid,13,GIANTX,11
318929,2:0,Bind,FNATIC,13,KOI,11
318929,2:0,Icebox,FNATIC,13,KOI,4
318930,0:2,Sunset,Team Liquid,2,Team Heretics,13
318930,0:2,Bind,Team Liquid,7,Team Heretics,13
318931,0:2,Icebox,Team Vitality,5,Gentle Mates,13
318931,0:2,Sunset,Team Vitality,5,Gentle Mates,13
318932,0:2,Split,FNATIC,7,FUT Esports,13
318932,0:2,Lotus,FNATIC,13,FUT Esports,15
318933,2:1,Ascent,BBL Esports,8,Natus Vincere,13
318933,2:1,Sunset,BBL Esports,13,Natus Vincere,8
318933,2:1,Split,BBL Esports,13,Natus Vincere,9
318934,2:1,Lotus,Team Vitality,14,GIANTX,16
318934,2:1,Breeze,Team Vitality,13,GIANTX,7
318934,2:1,Sunset,Team Vitality,13,GIANTX,6
318935,2:1,Sunset,Karmine Corp,13,KOI,7
318935,2:1,Icebox,Karmine Corp,7,KOI,13
318935,2:1,Bind,Karmine Corp,15,KOI,13
